Arrival Rate	Service Rate	Avg. Delay	Avg. Queue	Server Util	Sim Time
0.471698404	0.212765966	122.330559	 54.450794	  0.997348	499.100616
0.467290009	0.212765966	101.145294	 41.886017	  0.995381	470.148621
0.462963251	0.212765966	180.773361	 81.039284	  0.994945	495.207062
0.458715883	0.212765966	 95.337929	 38.090889	  0.991164	443.620178
0.454545740	0.212765966	153.059372	 64.492805	  0.976837	504.685577
0.450450735	0.212765966	105.118202	 49.942543	  0.984984	462.631927
0.446428855	0.212765966	159.007477	 63.718922	  0.982250	543.874573
0.442478158	0.212765966	 92.569511	 42.598747	  0.994823	408.314301
0.438596772	0.212765966	 98.425690	 53.993282	  0.998358	468.507141
0.434782888	0.212765966	113.528740	 49.895931	  0.989199	440.411163
0.431034761	0.212765966	113.000710	 46.753262	  0.998216	505.023010
0.427350704	0.212765966	144.674408	 63.853306	  0.997988	495.632660
0.423729089	0.212765966	140.427856	 56.002125	  0.996246	519.013733
0.420168342	0.212765966	 99.554436	 49.062031	  0.998454	416.752960
0.416666940	0.212765966	136.699753	 52.615963	  0.982884	442.807251
0.413223412	0.212765966	148.529846	 53.839008	  0.999150	502.708893
0.409836336	0.212765966	148.272202	 59.525146	  0.999213	491.810944
0.406504335	0.212765966	145.334396	 56.093197	  0.999086	535.010620
0.403226075	0.212765966	122.804581	 48.533009	  0.999062	505.661163
0.400000267	0.212765966	125.816872	 45.713539	  0.996077	456.846375
0.396825663	0.212765966	110.051414	 45.678211	  0.992862	512.041748
0.393701052	0.212765966	 98.002365	 39.034405	  0.961592	455.334503
0.390625263	0.212765966	154.604050	 65.832710	  0.999012	503.475830
0.387597161	0.212765966	133.178360	 48.519047	  0.977530	506.782990
0.384615646	0.212765966	 97.684280	 37.093418	  0.990984	501.111023
0.381679649	0.212765966	 96.074890	 39.719814	  0.982792	431.423431
0.378788137	0.212765966	 76.035309	 28.538248	  0.989213	431.260559
0.375940107	0.212765966	 71.401436	 25.248518	  0.973272	457.317230
0.373134585	0.212765966	139.773422	 50.735004	  0.955943	537.270508
0.370370625	0.212765966	100.960129	 38.680008	  0.994014	460.262207
0.367647313	0.212765966	115.275780	 42.560181	  0.979913	514.094299
0.364963756	0.212765966	 58.354996	 19.707300	  0.943526	462.451416
0.362319092	0.212765966	144.227432	 42.361507	  0.991589	515.892883
0.359712481	0.212765966	140.888306	 48.852379	  0.998225	582.706909
0.357143107	0.212765966	 65.910156	 22.321911	  0.954500	402.540741
0.354610177	0.212765966	131.034164	 44.864143	  0.994656	517.838928
0.352112923	0.212765966	 65.533516	 21.889282	  0.987613	383.134125
0.349650596	0.212765966	125.014610	 38.560863	  0.967880	512.933044
0.347222467	0.212765966	 52.694813	 17.488605	  0.975555	398.001099
0.344827830	0.212765966	 97.209740	 36.911957	  0.995716	442.470856
0.342465996	0.212765966	 96.130905	 36.308205	  0.987622	516.684998
0.340136296	0.212765966	 85.347435	 26.272850	  0.994400	443.312500
0.337838078	0.212765966	 93.338089	 36.505157	  0.994824	483.812683
0.335570709	0.212765966	113.453468	 39.432827	  0.979821	487.705292
0.333333572	0.212765966	 82.815208	 34.158756	  0.981303	476.023590
0.331126065	0.212765966	156.752899	 48.308823	  0.999184	501.929474
0.328947605	0.212765966	128.154785	 39.941730	  0.995415	531.270020
0.326797621	0.212765966	 33.922974	 10.134560	  0.922292	433.165680
0.324675559	0.212765966	126.858192	 40.466934	  0.978618	527.935425
0.322580878	0.212765966	113.911858	 36.053169	  0.986450	458.183441
0.320513053	0.212765966	 97.670158	 30.248270	  0.998828	469.550232
0.318471569	0.212765966	111.404884	 38.946125	  0.999895	471.174561
0.316455926	0.212765966	 92.470383	 29.615156	  0.990400	445.048035
0.314465638	0.212765966	 58.363102	 15.679982	  0.999839	432.822296
0.312500228	0.212765966	 54.562672	 20.914762	  0.993580	400.512451
0.310559233	0.212765966	125.311874	 34.812710	  0.996826	525.777344
0.308642202	0.212765966	 73.085129	 30.533087	  0.983938	475.749329
0.306748691	0.212765966	 93.790527	 28.639616	  0.905294	511.783661
0.304878273	0.212765966	 53.574745	 17.609102	  0.985564	450.495605
0.303030526	0.212765966	 28.636606	  7.836746	  0.982042	413.493500
0.301205042	0.212765966	 46.269054	 13.343844	  0.977768	412.998444
0.299401419	0.212765966	 96.448288	 33.090328	  0.972629	449.940216
0.297619268	0.212765966	 61.131207	 17.352375	  0.997849	442.952911
0.295858208	0.212765966	124.977142	 38.781155	  0.996672	522.745911
0.294117866	0.212765966	 42.778530	 13.524509	  0.958897	448.092590
0.292397879	0.212765966	 64.980270	 18.356003	  0.982037	412.586792
0.290697891	0.212765966	 80.029907	 24.668755	  0.982728	497.196167
0.289017557	0.212765966	 51.015469	 15.919122	  0.983785	464.205109
0.287356537	0.212765966	 42.255112	 11.566091	  0.992114	415.833374
0.285714500	0.212765966	 68.295311	 21.246994	  0.991636	454.112946
0.284091122	0.212765966	 57.251740	 22.585083	  0.989206	519.302673
0.282486088	0.212765966	 47.050537	 13.964341	  0.929590	457.272156
0.280899088	0.212765966	 94.370354	 27.880125	  0.961470	530.443726
0.279329820	0.212765966	106.591736	 25.383230	  0.988964	535.816589
0.277777987	0.212765966	 61.646431	 14.598718	  0.923511	482.726135
0.276243303	0.212765966	 49.101650	 13.101790	  0.966232	475.522522
0.274725483	0.212765966	 13.392307	  3.655901	  0.921177	450.741180
0.273224251	0.212765966	 35.856861	  9.867753	  0.984357	394.743622
0.271739337	0.212765966	 48.636593	 11.139063	  0.988296	438.320038
0.270270476	0.212765966	 60.558853	 13.182735	  0.880934	519.175415
0.268817409	0.212765966	 83.035759	 26.674395	  0.988843	457.225372
